group1,group2,group3,group4,group5,group6,id,x,y,z
1.573682390509e+14,6.3461976773064e+14,1.1882775575994e+15,7.6809185246308e+14,6.1227570304425e+14,1.8524643830075e+14,35,100,35,0
1.6083876476399e+14,6.4860460047876e+14,1.2144654561347e+15,7.8504184490396e+14,6.2580742116952e+14,1.8934465536992e+14,36,100,36,0
1.6426723537461e+14,6.6241974131342e+14,1.2403324452089e+15,8.0178272337594e+14,6.391716918565e+14,1.9339206626082e+14,37,100,37,0
1.6765310379612e+14,6.7606305199806e+14,1.2658750535999e+15,8.1831241720554e+14,6.5236687613059e+14,1.9738818041431e+14,38,100,38,0
1.7099584163932e+14,6.8953245085761e+14,1.2910898335236e+15,8.3462886038127e+14,6.6539134599312e+14,2.0133251067491e+14,39,100,39,0
1.7429493677518e+14,7.0282590688722e+14,1.3159733617987e+15,8.5072999131755e+14,6.7824348250092e+14,2.0522457274847e+14,40,100,40,0
1.7754989121767e+14,7.1594143444125e+14,1.3405222404468e+15,8.6661375270838e+14,6.9092167415789e+14,2.0906388473195e+14,41,100,41,0
1.8076021936358e+14,7.2887708877413e+14,1.3647330974473e+15,8.822780918254e+14,7.0342431587533e+14,2.1284996680322e+14,42,100,42,0
1.8392544658349e+14,7.4163096250622e+14,1.3886025880046e+15,8.9772096138027e+14,7.1574980856418e+14,2.1658234110067e+14,43,100,43,0
1.8704508061068e+14,7.542010707727e+14,1.4121271861979e+15,9.129401858155e+14,7.2789645443492e+14,2.2026049894822e+14,44,100,44,0
1.9011864070058e+14,7.6658547282645e+14,1.4353034095538e+15,9.2793361194179e+14,7.3986257573293e+14,2.2388393693481e+14,45,100,45,0
1.9314568074618e+14,7.787823667557e+14,1.4581280061979e+15,9.4269922675596e+14,7.5164660430677e+14,2.2745218543911e+14,46,100,46,0
1.9612576056731e+14,7.9078997276945e+14,1.4805977447448e+15,9.5723502024577e+14,7.6324697339072e+14,2.3096477521485e+14,47,100,47,0
1.9905844543095e+14,8.0260653201387e+14,1.502709415556e+15,9.7153898696859e+14,7.746621184514e+14,2.344212376064e+14,48,100,48,0
2.0194330554515e+14,8.1423030511041e+14,1.5244598310026e+15,9.8560912695693e+14,7.8589047759615e+14,2.3782110463523e+14,49,100,49,0
2.047799155831e+14,8.2565957068521e+14,1.5458458252682e+15,9.9944344630594e+14,7.9693049181603e+14,2.4116390903836e+14,50,100,50,0
2.0756785432456e+14,8.368926242239e+14,1.5668642543479e+15,1.0130399579287e+15,8.0778060543249e+14,2.4444918437395e+14,51,100,51,0
2.1030670439319e+14,8.4792777729959e+14,1.5875119964498e+15,1.026396682426e+15,8.1843926668831e+14,2.4767646517492e+14,52,100,52,0
2.1299605207276e+14,8.5876335705651e+14,1.6077859525959e+15,1.0395116490377e+15,8.2890492845136e+14,2.5084528714178e+14,53,100,53,0
2.156354871901e+14,8.693977058316e+14,1.6276830471894e+15,1.0523828966479e+15,8.3917604900448e+14,2.539551873659e+14,54,100,54,0
2.1822460305409e+14,8.7982918099522e+14,1.6472002288037e+15,1.0650084748332e+15,8.492510928997e+14,2.5700570457633e+14,55,100,55,0
2.2076299644198e+14,8.9005615494719e+14,1.6663344710829e+15,1.0773864449386e+15,8.5912853186103e+14,2.5999637940486e+14,56,100,56,0
2.2325026762683e+14,9.0007701525092e+14,1.6850827737462e+15,1.0895148811797e+15,8.6880684572841e+14,2.6292675466687e+14,57,100,57,0
2.2568602044281e+14,9.0989016489746e+14,1.7034421637054e+15,1.1013918717774e+15,8.7828452344406e+14,2.6579637565783e+14,58,100,58,0
2.2806986238642e+14,9.1949402265678e+14,1.7214096962096e+15,1.1130155201348e+15,8.8756006408689e+14,2.6860479046679e+14,59,100,59,0
2.3040140475426e+14,9.2888702363832e+14,1.7389824563311e+15,1.1243839460828e+15,8.9663197796659e+14,2.7135155031e+14,60,100,60,0
2.3268026281654e+14,9.3806761999162e+14,1.7561575606367e+15,1.1354952872013e+15,9.0549878778339e+14,2.7403620988609e+14,61,100,61,0
2.3490605602194e+14,9.4703428165012e+14,1.7729321588282e+15,1.1463477002132e+15,9.1415902985527e+14,2.7665832775367e+14,62,100,62,0
2.3707840823593e+14,9.5578549723432e+14,1.7893034356365e+15,1.1569393624656e+15,9.2261125541173e+14,2.792174667303e+14,63,100,63,0
2.3919694799874e+14,9.6431977503671e+14,1.805268612825e+15,1.1672684734527e+15,9.3085403192118e+14,2.8171319430305e+14,64,100,64,0
2.4126130881081e+14,9.7263564411367e+14,1.8208249513508e+15,1.177333256426e+15,9.3888594448263e+14,2.8414508306005e+14,65,100,65,0
2.4327112940329e+14,9.8073165531814e+14,1.8359697533777e+15,1.1871319598942e+15,9.467055971246e+14,2.8651271109538e+14,66,100,66,0
2.4522605407713e+14,9.8860638258052e+14,1.8507003647117e+15,1.1966628594249e+15,9.543116143374e+14,2.8881566248637e+14,67,100,67,0
2.4712573293403e+14,9.9625842378668e+14,1.865014176471e+15,1.2059242588957e+15,9.6170264216037e+14,2.9105352763624e+14,68,100,68,0
2.4896982225588e+14,1.003686402281e+15,1.8789086279277e+15,1.2149144924557e+15,9.6887734981809e+14,2.9322590378609e+14,69,100,69,0
